viewing_session_id,basket
133,"S11,S12,S15"
134,"S06,S07"
135,S10
136,"S11,S12,S15"
137,"S09,S10"
138,"S04,S05"
139,"S04,S05"
140,S06
141,"S04,S05"
142,"S07,S14"
143,"S09,S10,S14"
144,"S11,S12"
145,"S06,S07"
146,S15
147,"S02,S08,S12,S15"
148,S11
149,"S06,S07,S08"
150,"S09,S14"
151,"S05,S10,S12"
152,"S04,S05"
153,"S06,S07,S08"
154,S12
155,"S05,S07"
156,"S05,S09,S10"
157,"S09,S10"
158,"S04,S05"
159,"S03,S04,S05"
160,S02
161,"S11,S12,S15"
162,"S01,S02"
163,"S01,S13"
164,"S01,S13"
165,"S06,S07"
166,"S05,S15"
167,"S11,S12,S15"
168,"S09,S10"
169,"S04,S05"
170,S07
171,"S06,S10"
172,"S06,S07"
173,"S09,S14"
174,"S01,S13"
175,"S07,S11,S13,S15"
176,"S11,S12,S15"
177,"S09,S10"
178,"S07,S09,S10,S15"
179,"S09,S10"
180,"S01,S05,S09,S13"
181,"S01,S13"
182,S10
183,"S02,S07,S08"
184,"S06,S07"
185,"S01,S02,S03"
186,"S01,S03,S08,S12"
187,"S06,S07"
188,"S04,S08,S14"
189,"S03,S06,S08,S12"
190,S10
191,"S01,S13"
192,"S04,S05"
193,"S01,S02,S14"
194,"S06,S09,S13"
195,"S11,S12,S15"
196,"S01,S13"
197,"S02,S07,S08,S09"
198,"S11,S12,S15"
199,"S05,S11,S13"
200,"S04,S05"
201,"S05,S10,S12,S14"
202,"S04,S09"
203,"S02,S04,S09,S11"
204,"S05,S14"
205,"S05,S06,S08,S13"
206,"S11,S12"
207,"S09,S10"
208,"S04,S06,S09,S10"
209,"S04,S05,S07"
210,"S02,S05,S06,S15"
211,"S04,S05"
212,"S07,S10,S12"
213,"S06,S08,S11"
214,"S04,S07,S11,S13"
215,"S03,S10,S13"
216,"S01,S09,S11,S13"
217,"S01,S03,S05,S11"
218,S15
219,"S01,S13"
220,"S01,S13"
221,"S09,S14"
222,"S01,S13"
223,"S11,S12"
224,"S01,S02,S03"
225,"S09,S10"
226,"S01,S02"
227,"S04,S05"
228,S01
229,"S09,S10"
230,"S04,S05"
231,S09
232,"S02,S06,S12"
233,"S07,S09"
234,"S01,S13"
235,S10
236,"S09,S14"
237,S13
238,S02
239,"S06,S07"
240,"S01,S12,S14"
241,"S06,S07"
242,"S04,S11,S12,S15"
243,"S05,S09,S10,S11"
244,"S11,S12"
245,"S09,S10"
246,"S01,S02,S04"
247,"S11,S12"
248,"S04,S05"
249,"S06,S07"
250,S07
251,"S01,S02"
252,S12
253,"S04,S07,S10,S13"
254,"S02,S08,S10,S12"
255,S04
256,"S09,S10"
257,"S01,S13"
258,"S11,S12"
259,S05
260,"S07,S08,S10,S14"
261,"S04,S05"
262,"S09,S10"
263,S06
264,"S01,S02,S05,S07"
265,S01
266,"S09,S14"
267,"S03,S07,S11"
268,S06
269,"S05,S10,S11,S12"
270,"S11,S12"
271,S08
272,"S09,S14"
273,"S06,S07"
274,"S11,S12"
275,"S11,S12,S15"
276,"S06,S13"
277,"S09,S10"
278,S15
279,"S03,S07,S09,S10"
280,"S06,S07"
281,"S02,S08"
282,"S06,S07"
283,"S09,S10"
284,"S01,S07,S09,S10"
285,"S09,S14"
286,"S05,S15"
287,S01
288,S03
289,"S09,S10"
290,"S06,S07"
291,"S09,S10"
292,"S11,S12"
293,"S03,S12,S14,S15"
294,"S04,S07,S10"
295,"S03,S04,S08"
296,"S06,S10"
297,"S11,S12,S15"
298,"S04,S05"
299,"S01,S06,S07"
300,"S09,S10"
301,"S01,S02"
302,"S01,S02"
303,S15
304,"S04,S10,S15"
305,"S04,S05"
306,"S04,S05,S11"
307,"S01,S02,S04"
308,"S01,S11,S13"
309,"S07,S09,S14"
310,"S01,S14"
311,"S02,S06,S11"
312,"S06,S07"
313,"S09,S14"
314,"S05,S11,S12,S15"
315,S14
316,"S02,S07,S08"
317,"S04,S07,S12,S14"
318,"S06,S07"
319,S13
320,"S09,S14"
321,"S04,S05"
322,S10
323,"S02,S04"
324,"S09,S10"
325,"S09,S10"
326,"S02,S11"
327,S08
328,"S06,S07"
329,"S09,S10"
330,"S11,S12"
331,"S09,S14"
332,S04
333,"S01,S02"
334,"S08,S12"
335,"S02,S07,S11,S12"
336,"S05,S08,S11"
337,"S03,S15"
338,"S06,S07"
339,"S01,S02,S03"
340,"S06,S07,S08"
341,"S06,S07,S08,S14"
342,S12
343,"S06,S07"
344,"S02,S10"
345,"S09,S14"
346,"S04,S05"
347,"S11,S12"
348,"S01,S02"
349,"S13,S14"
350,S01
351,"S01,S02,S03,S04"
352,"S01,S02,S03"
353,"S09,S14"
354,"S01,S02"
355,"S04,S05"
356,"S01,S02,S08"
357,"S01,S10"
358,"S02,S09"
359,"S09,S13"
360,"S09,S12"
361,"S09,S10"
362,"S01,S12"
363,"S03,S06,S12,S14"
364,"S06,S07"
365,"S01,S03,S11,S14"
366,"S03,S08,S09,S12"
367,"S11,S12"
368,"S04,S05"
369,"S04,S05"
370,"S11,S12,S15"
371,"S01,S05,S09"
372,"S01,S02"
373,"S06,S07,S08"
374,S14
375,"S09,S14"
376,"S09,S14"
377,"S09,S10"
378,"S09,S14,S15"
379,"S02,S04,S10"
380,"S02,S13"
381,S04
382,"S04,S05"
383,"S04,S05"
384,"S09,S10"
385,"S04,S05"
386,"S08,S09,S11,S13"
387,"S01,S02"
388,"S09,S11,S14"
389,S11
390,S03
391,"S01,S02,S03"
392,"S04,S05"
393,"S04,S05"
394,S12
395,S10
396,"S01,S13"
397,"S01,S09"
398,"S09,S10"
399,S09
400,"S02,S03,S06,S13"
401,"S04,S05"
402,"S10,S13"
403,"S14,S15"
404,"S06,S07"
405,S08
406,"S03,S04,S07,S09"
407,S05
408,"S11,S12,S15"
409,"S01,S13"
410,"S01,S02,S03"
411,"S01,S13"
412,"S11,S12,S15"
413,S07
414,S10
415,"S02,S06,S07"
416,"S01,S02,S03"
417,"S04,S05"
418,"S06,S10,S11,S14"
419,"S01,S08,S10"
420,"S11,S12"
421,"S04,S05"
422,"S06,S07"
423,"S04,S07,S11"
424,"S11,S12"
425,"S11,S12"
426,"S09,S14"
427,"S01,S02"
428,"S04,S05"
429,"S11,S12,S15"
430,S01
431,"S06,S07"
432,"S11,S12"
433,"S02,S06,S09"
434,"S06,S07"
435,"S04,S05"
436,"S11,S12"
437,"S06,S07"
438,"S09,S14"
439,"S08,S11,S14"
440,"S03,S06,S07,S10"
441,"S01,S02"
442,"S01,S13"
443,"S02,S05"
444,"S02,S13"
445,"S01,S10,S13"
446,"S01,S02"
447,"S02,S06,S10,S14"
448,"S09,S14"
449,"S01,S02,S09"
450,"S09,S14"
451,"S02,S04,S06"
452,"S01,S11,S15"
453,"S07,S09,S10,S11"
454,"S09,S10,S12"
455,"S11,S12"
456,"S06,S07"
457,S10
458,"S04,S05"
459,"S06,S07,S08"
460,"S06,S11,S12,S15"
461,"S01,S02"
462,"S01,S13"
463,"S01,S03,S12"
464,"S01,S13"
465,S08
466,"S02,S06,S09,S10"
467,"S09,S14"
468,"S01,S02"
469,"S04,S05"
470,"S07,S08,S14"
471,"S01,S03,S14"
472,"S01,S06,S07"
473,"S06,S07"
474,"S01,S13"
475,S10
476,S04
477,"S09,S14"
478,"S06,S07"
479,"S08,S09,S11,S15"
480,"S04,S12"
481,"S06,S07"
482,"S08,S09,S12,S14"
483,"S09,S14"
484,"S04,S05"
485,"S05,S14"
486,"S01,S02,S03"
487,S12
488,S09
489,"S04,S05,S11"
490,S01
491,"S09,S10"
492,"S04,S05"
493,"S06,S07,S08"
494,"S02,S03,S07,S15"
495,"S03,S12"
496,"S02,S05,S11,S14"
497,"S04,S05"
498,"S08,S15"
499,"S01,S06,S13"
500,"S07,S09"
501,"S08,S10,S14"
502,"S11,S12,S15"
503,"S11,S12"
504,"S03,S06,S10,S11"
505,"S11,S12,S15"
506,"S06,S07,S08"
507,"S07,S10,S12,S15"
508,"S01,S02"
509,"S01,S02"
510,"S04,S05"
511,"S05,S12"
512,"S09,S10,S14"
513,"S02,S11"
514,"S04,S06,S12,S14"
515,"S01,S02"
516,"S02,S03,S14"
517,"S11,S12"
518,"S11,S12,S15"
519,"S04,S08,S14,S15"
520,S05
521,"S09,S10,S15"
522,"S01,S13"
523,"S09,S14"
524,"S01,S02,S03"
525,"S02,S06"
526,"S06,S07"
527,S03
528,"S05,S10,S12,S15"
529,"S01,S02,S03,S14"
530,"S01,S02"
531,"S01,S13"
532,"S11,S12,S15"
533,"S09,S14"
534,"S02,S04,S10"
535,"S03,S05,S11,S14"
536,"S07,S13"
537,"S09,S14"
538,S11
539,"S01,S02"
540,S13
541,"S05,S07,S09,S12"
542,"S04,S07,S08,S14"
543,"S11,S12,S15"
544,"S05,S12,S13"
545,"S01,S13"
546,"S05,S07"
547,"S06,S07"
548,"S02,S03,S07,S14"
549,S01
550,"S04,S05"
551,"S06,S07,S08"
552,"S06,S10,S15"
553,"S01,S13"
554,S07
555,"S11,S12"
556,"S06,S07"
557,"S09,S10"
558,"S01,S13"
559,"S01,S07,S08,S15"
560,"S09,S14"
561,"S04,S05"
562,"S10,S11,S12"
563,"S04,S05"
564,"S01,S02,S03"
565,"S06,S07"
566,"S11,S12"
567,"S06,S07"
568,"S01,S02,S03"
569,S04
570,"S01,S07,S13"
571,"S01,S02"
572,"S09,S10"
573,"S01,S07,S10"
574,"S04,S05"
575,S02
576,S15
577,"S05,S14"
578,"S09,S14"
579,S07
580,"S08,S11"
581,"S03,S12"
582,"S06,S07"
583,S01
584,"S11,S12"
585,"S04,S08,S13"
586,"S04,S08,S10"
587,S02
588,"S11,S12,S15"
589,"S05,S08,S09"
590,"S06,S07,S08"
591,S02
592,"S06,S07"
593,"S11,S12"
594,"S07,S09,S12,S15"
595,"S06,S07,S15"
596,"S06,S07,S08"
597,S08
598,"S09,S11,S12"
599,"S11,S12,S15"
600,"S09,S11,S14"
601,"S01,S02,S03"
602,"S06,S07"
603,"S11,S12"
604,"S09,S10"
605,"S04,S05"
606,"S04,S05"
607,"S02,S05,S14"
608,"S01,S02,S03"
609,"S08,S11,S14"
610,"S02,S03,S15"
611,"S06,S07"
612,"S09,S10"
613,"S07,S09,S11,S15"
614,S12
615,S06
616,"S01,S13"
617,S09
618,"S01,S02"
619,"S04,S05"
620,"S07,S10"
621,"S11,S12"
622,"S09,S10"
623,"S02,S14,S15"
624,"S01,S13"
625,"S03,S10"
626,"S09,S10"
627,"S06,S08"
628,"S06,S07"
629,"S07,S10,S15"
630,"S09,S14"
631,"S04,S05,S12,S14"
632,"S01,S04,S09,S15"
633,S06
634,"S04,S06,S11,S13"
635,"S09,S10"
636,"S11,S12,S15"
637,S02
638,"S09,S10"
639,"S05,S12"
640,"S11,S12"
641,"S01,S02,S03"
642,S01
643,"S03,S12,S13"
644,"S09,S14"
645,"S01,S07,S11"
646,"S06,S07,S08"
647,"S04,S07,S11"
648,"S06,S07,S08"
649,S11
650,"S03,S09,S10"
651,"S02,S06,S13"
652,"S01,S02,S11,S13"
653,"S06,S07,S08"
654,"S03,S08,S11,S15"
655,"S06,S07,S08"
656,"S11,S12,S15"
657,S11
658,"S04,S05"
659,"S05,S06,S15"
660,S08
661,"S09,S14"
662,S08
663,"S02,S14,S15"
664,S10
665,"S02,S06,S10,S14"
666,"S06,S14"
667,"S09,S10"
668,"S01,S04,S06"
669,"S06,S07"
670,"S06,S07"
671,"S01,S02"
672,"S11,S12"
673,"S01,S12"
674,S10
675,"S09,S10"
676,S03
677,"S09,S10"
678,"S04,S05"
679,"S01,S02,S03"
680,"S01,S02,S03"
681,"S09,S14"
682,"S11,S12"
683,"S01,S11"
684,S08
685,"S04,S06,S12,S15"
686,"S02,S08,S11,S13"
687,"S09,S10"
688,"S06,S07,S08,S14"
689,S13
690,"S04,S05,S14"
691,"S04,S05,S08"
692,"S04,S06,S14"
693,"S09,S10"
694,"S06,S07"
695,S04
696,"S04,S05"
697,"S01,S03,S07,S11"
698,"S11,S12"
699,"S06,S11"
700,"S01,S13"
701,"S06,S08,S14,S15"
702,"S06,S07,S08"
703,"S01,S13"
704,"S09,S14"
705,"S06,S07"
706,"S09,S14"
707,S11
708,"S06,S07"
709,"S04,S11,S13"
710,"S10,S11"
711,"S09,S10"
712,"S04,S05"
713,"S01,S09,S13"
714,S14
715,"S02,S10"
716,"S09,S10"
717,"S06,S07"
718,"S09,S13,S15"
719,"S11,S12"
720,"S04,S05"
721,"S06,S07,S08,S09"
722,"S04,S05"
723,S07
724,"S01,S02"
725,"S01,S02"
726,"S02,S04,S05"
727,"S05,S06"
728,"S01,S13"
729,"S01,S13"
730,"S01,S03,S08,S12"
731,"S05,S09,S15"
732,"S06,S07"
733,"S09,S10"
734,"S09,S14"
735,"S09,S14"
736,"S07,S13"
737,"S01,S02,S03"
738,"S01,S02"
739,"S09,S10"
740,"S08,S11"
741,S09
742,"S09,S14"
743,"S01,S02,S03"
744,"S09,S10"
745,"S09,S10"
746,"S11,S12"
747,"S11,S12"
748,"S11,S12"
749,"S01,S13"
750,S01
751,"S11,S12"
752,"S09,S14"
753,"S04,S08"
754,"S09,S14"
755,"S01,S02,S03"
756,"S09,S14"
757,"S04,S05"
758,S11
759,"S09,S14"
760,"S09,S14"
761,"S08,S11,S12"
762,"S01,S02,S03"
763,"S06,S07"
764,"S09,S10,S11"
765,"S09,S10"
766,"S02,S09,S10,S15"
767,S14
768,"S01,S02,S03"
769,"S04,S05"
770,"S04,S05,S06,S14"
771,"S11,S12"
772,"S01,S02"
773,"S09,S14"
774,"S01,S11,S13"
775,"S01,S13"
776,"S04,S06"
777,"S09,S10"
778,"S04,S05"
779,"S10,S11"
780,"S06,S08"
781,"S13,S14,S15"
782,"S01,S04,S10"
783,"S01,S02"
784,"S01,S02,S13"
785,"S06,S07,S08"
786,"S09,S15"
787,"S03,S11,S13"
788,"S01,S02"
789,"S01,S02,S03"
790,"S04,S05"
791,"S03,S06,S10,S14"
792,"S06,S07"
793,"S09,S10"
794,"S03,S05,S07,S14"
795,"S06,S07,S08"
796,"S01,S13"
797,S07
798,"S11,S12"
799,"S02,S11,S12"
800,"S11,S13"
801,S14
802,"S04,S08,S10,S12"
803,"S03,S06,S07"
804,"S02,S06,S09,S10"
805,"S01,S05"
806,"S01,S10,S13,S15"
807,"S03,S06,S11"
808,"S04,S05,S09"
809,"S01,S13"
810,"S09,S14"
811,"S08,S09,S10"
812,"S09,S14"
813,S04
814,"S06,S07"
815,"S09,S14"
816,"S09,S10,S15"
817,"S01,S02,S03"
818,S11
819,"S03,S09,S14"
820,"S01,S08,S13"
821,"S01,S02,S03"
822,"S09,S10"
823,"S02,S03,S07"
824,"S09,S10"
825,"S11,S12,S15"
826,"S01,S04"
827,S01
828,"S09,S10"
829,"S06,S07,S08"
830,S08
831,S08
832,S15
833,"S06,S07,S08"
834,S11
835,"S06,S07,S10,S12"
836,"S06,S07"
837,S09
838,"S04,S05"
839,"S11,S12"
840,"S07,S10,S15"
841,"S04,S05"
842,"S09,S10"
843,S10
844,S06
845,"S01,S03,S11"
846,S09
847,"S02,S03,S06"
848,"S01,S13"
849,"S03,S04,S14"
850,"S11,S12,S15"
851,"S01,S13"
852,"S01,S02"
853,"S02,S06"
854,"S04,S05"
855,"S11,S12,S15"
856,"S01,S02"
857,S05
858,"S01,S09,S11,S13"
859,"S01,S02"
860,"S01,S02,S03"
861,"S01,S08,S09,S12"
862,"S09,S14"
863,"S04,S08,S11,S13"
864,S13
865,S12
866,"S03,S15"
867,"S11,S12"
868,"S06,S10,S12,S15"
869,"S01,S13"
870,"S09,S10"
871,S10
872,"S06,S07"
873,"S11,S12"
874,"S06,S08"
875,S15
876,"S11,S12"
877,"S09,S10"
878,S05
879,"S09,S10"
880,"S10,S11,S15"
881,S12
882,"S09,S10"
883,"S04,S05,S08"
884,"S01,S12,S14"
885,"S11,S12"
886,"S01,S10,S13"
887,"S06,S08,S11,S12"
888,"S05,S06,S10"
889,"S05,S06,S10,S14"
890,"S01,S02"
891,"S01,S06,S07,S15"
892,"S06,S07"
893,S12
894,"S06,S07"
895,"S03,S07"
896,"S04,S05"
897,"S04,S06,S07,S15"
898,"S09,S10"
899,"S09,S10"
900,"S01,S08,S13"
901,"S09,S15"
902,"S01,S03,S13"
903,"S01,S13"
904,"S01,S11,S12,S15"
905,S09
906,S01
907,"S01,S02,S06"
908,"S01,S13"
909,"S11,S12"
910,S11
911,"S11,S12,S15"
912,"S09,S11,S12,S15"
913,"S01,S04,S06"
914,"S01,S04"
915,"S09,S14"
916,S08
917,"S01,S04,S05"
918,"S02,S06"
919,"S11,S12"
920,S10
921,"S11,S12,S15"
922,"S06,S09,S11,S13"
923,"S04,S05,S14"
924,"S01,S02"
925,"S01,S13"
926,"S04,S05"
927,"S01,S13"
928,"S04,S08,S12,S14"
929,"S06,S07,S12"
930,"S09,S10"
931,"S01,S13"
932,"S04,S05"
933,"S09,S10"
934,"S11,S12,S15"
935,"S06,S07"
936,"S04,S14"
937,"S01,S02,S03"
938,S09
939,S07
940,"S01,S13"
941,"S04,S05"
942,"S06,S07"
943,"S05,S11,S14"
944,"S09,S10"
945,"S02,S05,S13"
946,"S06,S07,S08"
947,S05
948,"S03,S04,S07,S09"
949,"S08,S09,S15"
950,"S04,S05"
951,"S04,S05"
952,"S07,S12,S13,S14"
953,"S01,S13"
954,S10
955,"S06,S07"
956,S05
957,"S01,S03,S13"
958,"S04,S08,S15"
959,"S09,S14"
960,"S06,S07"
961,"S03,S10,S11"
962,"S06,S07,S08"
963,"S01,S02"
964,"S04,S05"
965,"S09,S10,S14"
966,"S04,S11"
967,S04
968,S06
969,"S05,S09,S11,S14"
970,"S04,S05"
971,"S01,S13"
972,"S06,S07"
973,"S06,S07"
974,S04
975,"S01,S02,S05"
976,"S01,S02"
977,"S09,S10"
978,S12
979,S09
980,"S02,S06"
981,S14
982,"S09,S14"
983,"S01,S03,S13"
984,"S02,S06,S09,S13"
985,"S04,S05,S10"
986,"S12,S15"
987,"S01,S02,S03"
988,"S09,S10"
989,"S01,S02"
990,"S03,S06,S11,S12"
991,"S02,S10"
992,"S01,S07,S11,S13"
993,"S04,S06,S08"
994,"S01,S06,S11,S14"
995,S15
996,"S04,S05"
997,"S11,S12"
998,"S05,S10,S13,S15"
999,"S09,S14"
1000,"S09,S10"
1001,"S04,S05"
1002,"S11,S13"
1003,"S04,S05"
1004,"S01,S13"
1005,"S07,S10"
1006,"S02,S05,S10,S12"
1007,"S04,S05,S14"
1008,S01
1009,"S06,S11,S12"
1010,"S01,S13"
1011,"S01,S02"
1012,"S09,S14"
1013,"S01,S02"
1014,"S07,S09,S14"
1015,"S02,S03,S04,S06"
1016,"S09,S14"
1017,"S09,S10"
1018,"S09,S10"
1019,"S01,S02"
1020,S07
1021,"S04,S05"
1022,S13
1023,"S09,S10"
1024,"S11,S12"
1025,"S04,S12"
1026,"S09,S10"
1027,"S01,S02,S11,S13"
1028,"S03,S06,S10,S14"
1029,"S09,S10"
1030,"S01,S13"
1031,"S01,S02,S03"
1032,S14
1033,S06
1034,"S06,S07,S08"
1035,"S06,S07"
1036,"S01,S02"
1037,"S06,S07,S08,S11"
1038,"S01,S07,S10,S15"
1039,"S05,S09,S11"
1040,"S06,S07,S08,S10"
1041,S08
1042,"S01,S02"
1043,"S04,S05"
1044,"S09,S10"
1045,"S01,S13"
1046,"S09,S10"
1047,"S09,S14"
1048,"S11,S12"
1049,"S09,S10"
1050,"S03,S07,S09"
1051,"S10,S13"
1052,"S01,S02,S03"
1053,"S04,S07,S08,S15"
1054,"S04,S11"
1055,"S09,S14"
1056,"S04,S05,S08,S09"
1057,"S09,S10"
1058,"S04,S05,S11,S15"
1059,"S04,S05"
1060,"S09,S10"
1061,"S05,S07,S08,S11"
1062,"S05,S11,S14,S15"
1063,"S05,S06,S07,S11"
1064,"S01,S02"
1065,"S04,S05"
1066,"S04,S05"
1067,"S01,S10"
1068,"S06,S07,S08"
1069,"S01,S13"
1070,"S09,S10"
1071,"S01,S02,S03"
1072,S07
1073,"S03,S06,S10,S15"
1074,"S01,S13"
1075,"S08,S12,S14,S15"
1076,"S11,S12"
1077,"S01,S02,S11,S13"
1078,"S05,S07,S09,S10"
1079,"S09,S14"
1080,"S11,S12"
1081,"S05,S12,S15"
1082,"S03,S08,S10,S14"
1083,"S04,S13"
1084,"S11,S12,S15"
1085,S05
1086,"S04,S05"
1087,"S01,S13"
1088,"S01,S02"
1089,"S07,S11,S12,S14"
1090,"S02,S04,S08,S12"
1091,"S03,S10"
1092,"S06,S08,S09,S12"
1093,"S04,S05"
1094,"S03,S06,S13"
1095,"S04,S05"
1096,"S09,S14"
1097,S15
1098,"S01,S13"
1099,"S09,S10"
1100,"S04,S06,S10,S14"
1101,"S01,S13"
1102,"S01,S02,S13"
1103,S05
1104,"S01,S02"
1105,"S09,S10"
1106,"S09,S14"
1107,"S06,S07,S08"
1108,"S11,S12,S15"
1109,"S02,S07,S09,S15"
1110,"S02,S05,S07"
1111,"S09,S14"
1112,"S04,S05"
1113,"S04,S05"
1114,"S09,S10"
1115,"S04,S05"
1116,"S09,S10"
1117,"S01,S02"
1118,"S02,S06,S10,S13"
1119,"S01,S02,S03"
1120,"S09,S14"
1121,"S06,S07"
1122,"S11,S12,S15"
1123,S14
1124,"S01,S02,S04,S14"
1125,"S04,S05"
1126,"S06,S07,S08"
1127,"S11,S12,S15"
1128,"S06,S07"
1129,"S01,S02"
1130,"S06,S07"
1131,"S06,S07"
1132,"S03,S04,S11,S14"
1133,"S06,S07,S15"
1134,"S11,S12"
1135,"S05,S10,S14"
1136,"S04,S05"
1137,S11
1138,"S09,S14"
1139,"S01,S13"
1140,"S01,S10"
1141,"S01,S13"
1142,"S11,S12,S15"
1143,"S09,S14"
1144,"S01,S02,S03,S13"
1145,"S09,S14"
1146,"S01,S02"
1147,"S06,S07,S08"
1148,S09
1149,"S11,S12,S15"
1150,S06
1151,"S09,S10"
1152,"S05,S13,S15"
1153,"S02,S07"
1154,"S01,S02,S03"
1155,"S01,S02"
1156,"S04,S07,S09"
1157,"S02,S05,S15"
1158,"S05,S10"
1159,"S06,S07,S08"
1160,"S12,S14,S15"
1161,"S01,S02"
1162,"S09,S14"
1163,S08
1164,"S01,S02,S03"
1165,"S07,S09,S14"
1166,"S07,S08,S11,S15"
1167,"S06,S07,S08"
1168,"S02,S07,S11,S13"
1169,"S01,S13"
1170,"S11,S12"
1171,"S01,S02"
1172,"S01,S02"
1173,"S01,S08,S10,S14"
1174,"S06,S09,S12"
1175,"S02,S10,S15"
1176,"S09,S10"
1177,S11
1178,"S01,S02,S03"
1179,"S09,S14"
1180,"S02,S07"
1181,"S04,S05"
1182,"S01,S02,S09,S14"
1183,"S04,S05"
1184,"S01,S02,S03"
1185,"S01,S13"
1186,"S09,S12,S14"
1187,"S02,S04,S05,S09"
1188,"S01,S07,S08,S10"
1189,"S11,S12"
1190,"S09,S10"
1191,"S09,S10"
1192,"S04,S05"
1193,S08
1194,"S09,S10"
1195,"S01,S11"
1196,"S08,S15"
1197,"S01,S02"
1198,"S09,S13,S14"
1199,S14
1200,"S06,S07"
1201,"S04,S05"
1202,"S01,S13"
1203,"S10,S14,S15"
1204,"S02,S03,S07,S14"
1205,"S06,S07"
1206,"S06,S07"
1207,"S01,S02"
1208,"S08,S14"
1209,"S03,S10,S14"
1210,"S01,S02,S03"
1211,"S01,S02"
1212,"S11,S12,S15"
1213,"S09,S10"
1214,"S11,S12"
1215,"S09,S14"
1216,S03
1217,"S07,S08"
1218,"S04,S05"
1219,"S01,S15"
1220,"S01,S13"
1221,"S01,S13"
1222,S11
1223,S12
1224,"S09,S14"
1225,S04
1226,"S05,S15"
1227,"S01,S13"
1228,"S04,S05"
1229,"S11,S12"
1230,S14
1231,S04
1232,"S02,S07,S11,S15"
1233,S08
1234,"S04,S05"
1235,"S08,S12"
1236,S13
1237,"S01,S07,S11"
1238,"S04,S06,S07"
1239,"S01,S02,S03"
1240,"S07,S09"
1241,"S10,S13,S15"
1242,"S05,S06,S10,S11"
1243,"S03,S12"
1244,"S01,S13"
1245,"S11,S12"
1246,"S06,S10"
1247,"S09,S10"
1248,"S02,S03,S12"
1249,S15
1250,"S11,S12"
1251,S11
1252,"S03,S04"
1253,"S05,S09"
1254,"S01,S06,S10,S13"
1255,"S04,S06,S11"
1256,"S01,S13"
1257,"S01,S13"
1258,S02
1259,"S04,S05"
1260,"S06,S07,S10"
1261,"S04,S05"
1262,"S01,S02"
1263,"S04,S05"
1264,"S09,S10"
1265,"S04,S05"
1266,"S06,S07"
1267,"S01,S13"
1268,"S06,S07"
1269,"S02,S04,S11,S14"
1270,"S09,S10"
1271,"S01,S06,S07,S15"
1272,"S09,S14"
1273,"S02,S05,S15"
1274,"S06,S07"
1275,"S01,S02"
1276,S07
1277,"S01,S13"
1278,S08
